186	02/02/2018 14:16:58
187	02/02/2018 14:17:33
188	02/02/2018 14:17:46
189	02/02/2018 14:18:06
190	02/02/2018 14:18:30
191	02/02/2018 14:19:17
192	02/02/2018 14:20:16
193	02/02/2018 14:20:20
194	02/02/2018 14:20:34
195	02/02/2018 14:21:35
196	02/02/2018 14:21:38
197	02/02/2018 14:21:41
198	02/02/2018 14:21:48
199	02/02/2018 14:22:20
200	02/02/2018 14:22:29
201	02/02/2018 14:22:57
202	02/02/2018 14:23:18
203	02/02/2018 14:23:39
204	02/02/2018 14:23:59
205	02/02/2018 14:24:20
206	02/02/2018 14:24:42
207	02/02/2018 14:25:07
208	02/02/2018 14:25:34
209	02/02/2018 14:25:59
210	02/02/2018 14:27:54
211	02/02/2018 14:28:00
212	02/02/2018 14:28:02
213	02/02/2018 14:28:06
214	02/02/2018 14:28:09
215	02/02/2018 14:28:15
216	02/02/2018 14:28:54
217	02/02/2018 14:29:00
218	02/02/2018 14:29:28
219	02/02/2018 14:30:03
220	02/02/2018 14:30:12
221	02/02/2018 14:30:39
222	02/02/2018 14:31:02
223	02/02/2018 14:31:27
224	02/02/2018 14:32:28
225	02/02/2018 14:32:31
226	02/02/2018 14:33:00
227	02/02/2018 14:33:08
228	02/02/2018 14:33:14
229	02/02/2018 14:33:38
230	02/02/2018 14:34:02
231	02/02/2018 14:34:26
232	02/02/2018 14:34:40
233	02/02/2018 14:35:06
234	02/02/2018 14:35:27
235	02/02/2018 14:36:59
236	02/02/2018 14:38:06
237	02/02/2018 14:38:10
238	02/02/2018 14:38:14
239	02/02/2018 14:38:17
240	02/02/2018 14:38:25
241	02/02/2018 14:38:27
242	02/02/2018 14:38:30
243	02/02/2018 14:38:55
244	02/02/2018 14:39:06
245	02/02/2018 14:40:05
246	02/02/2018 14:40:09
247	02/02/2018 14:40:32
248	02/02/2018 14:41:03
249	02/02/2018 14:41:09
250	02/02/2018 14:41:27
251	02/02/2018 14:42:13
252	02/02/2018 14:42:20
253	02/02/2018 14:42:43
254	02/02/2018 14:43:23
255	02/02/2018 14:44:59
256	02/02/2018 14:45:05
257	02/02/2018 14:45:08
258	02/02/2018 14:45:45
259	02/02/2018 14:45:52
260	02/02/2018 14:45:54
261	02/02/2018 14:45:59
262	02/02/2018 14:46:11
263	02/02/2018 14:46:44
264	02/02/2018 14:46:57
265	02/02/2018 14:47:31
266	02/02/2018 14:47:51
267	02/02/2018 14:48:06
268	02/02/2018 14:49:30
269	02/02/2018 14:49:32
270	02/02/2018 14:49:50
271	02/02/2018 14:49:53
272	02/02/2018 14:50:10
273	02/02/2018 14:50:36
274	02/02/2018 14:50:58
275	02/02/2018 14:51:31
276	02/02/2018 14:52:38
277	02/02/2018 14:52:44
278	02/02/2018 14:52:53
279	02/02/2018 14:53:06
280	02/02/2018 14:53:43
281	02/02/2018 14:53:45
282	02/02/2018 14:54:08
283	02/02/2018 14:54:45
284	02/02/2018 14:55:03
285	02/02/2018 14:56:14
286	02/02/2018 14:56:18
287	02/02/2018 14:57:53
288	02/02/2018 14:57:57
289	02/02/2018 14:59:08
290	02/02/2018 14:59:14
291	02/02/2018 14:59:17
292	02/02/2018 14:59:38
293	02/02/2018 14:59:42
294	02/02/2018 14:59:45
295	02/02/2018 14:59:50
296	02/02/2018 14:59:55
297	02/02/2018 15:00:01
