0	19/09/2017 16:20:11
1	19/09/2017 16:20:16
2	19/09/2017 16:20:21
3	19/09/2017 16:20:25
4	19/09/2017 16:20:29
5	19/09/2017 16:20:35
6	19/09/2017 16:20:38
7	19/09/2017 16:21:43
8	19/09/2017 16:23:00
9	19/09/2017 16:24:19
10	19/09/2017 16:25:35
11	19/09/2017 16:27:00
12	19/09/2017 16:28:13
13	19/09/2017 16:29:35
14	19/09/2017 16:31:01
15	19/09/2017 16:32:24
16	19/09/2017 16:33:56
17	19/09/2017 16:35:29
18	19/09/2017 16:36:30
19	19/09/2017 16:38:02
20	19/09/2017 16:39:04
21	19/09/2017 16:40:36
22	19/09/2017 16:42:08
23	19/09/2017 16:43:40
24	19/09/2017 16:44:42
25	19/09/2017 16:46:15
26	19/09/2017 16:47:47
27	19/09/2017 16:49:19
28	19/09/2017 16:50:21
29	19/09/2017 16:51:54
30	19/09/2017 16:53:27
31	19/09/2017 16:55:00
32	19/09/2017 16:56:01
33	19/09/2017 16:57:34
34	19/09/2017 16:58:36
35	19/09/2017 17:00:09
36	19/09/2017 17:01:10
37	19/09/2017 17:02:43
38	19/09/2017 17:04:16
39	19/09/2017 17:05:48
40	19/09/2017 17:07:21
41	19/09/2017 17:46:52
42	19/09/2017 17:46:52
43	19/09/2017 17:45:50
44	19/09/2017 17:45:50
45	19/09/2017 17:45:48
46	19/09/2017 17:45:48
47	19/09/2017 17:46:51
48	19/09/2017 17:45:48
49	19/09/2017 17:45:48
50	19/09/2017 17:45:48
51	19/09/2017 17:45:50
52	19/09/2017 17:45:50
53	19/09/2017 17:45:49
54	19/09/2017 17:45:49
55	19/09/2017 17:44:49
56	19/09/2017 17:44:50
57	19/09/2017 17:45:49
58	19/09/2017 17:45:49
59	19/09/2017 17:45:50
60	19/09/2017 17:45:49
61	19/09/2017 19:18:55
62	19/09/2017 17:44:50
63	19/09/2017 17:44:50
64	19/09/2017 17:44:49
65	19/09/2017 19:20:57
66	19/09/2017 17:44:49
67	19/09/2017 17:44:49
68	19/09/2017 19:20:58
69	19/09/2017 19:21:29
70	19/09/2017 19:22:00
71	19/09/2017 19:23:32
72	19/09/2017 19:24:03
73	19/09/2017 19:25:05
74	19/09/2017 19:31:13
75	19/09/2017 19:31:44
76	19/09/2017 19:34:48
77	19/09/2017 19:36:20
78	19/09/2017 19:36:50
79	19/09/2017 19:36:51
80	19/09/2017 19:38:54
81	19/09/2017 19:40:56
82	19/09/2017 19:41:57
83	19/09/2017 19:43:30
84	19/09/2017 19:44:01
85	19/09/2017 19:48:37
86	19/09/2017 19:49:08
87	19/09/2017 19:51:10
88	19/09/2017 19:51:11
89	19/09/2017 19:51:41
90	19/09/2017 19:51:42
91	19/09/2017 19:52:12
92	19/09/2017 19:52:14
93	19/09/2017 19:52:43
94	19/09/2017 19:52:45
95	19/09/2017 19:58:21
96	19/09/2017 19:58:52
97	19/09/2017 19:58:52
98	19/09/2017 20:03:59
99	19/09/2017 20:05:32
100	19/09/2017 20:06:02
101	19/09/2017 20:08:05
102	19/09/2017 20:09:07
103	19/09/2017 20:12:43
104	19/09/2017 20:13:45
105	19/09/2017 20:15:48
106	19/09/2017 20:21:27
107	19/09/2017 20:21:58
108	19/09/2017 20:21:59
109	19/09/2017 20:24:06
110	19/09/2017 20:24:07
111	19/09/2017 19:05:25
112	19/09/2017 19:08:31
113	19/09/2017 19:11:18
114	19/09/2017 19:12:17
115	19/09/2017 19:13:40
116	19/09/2017 20:25:44
117	19/09/2017 20:27:22
118	19/09/2017 20:27:55
119	19/09/2017 20:28:27
120	19/09/2017 20:29:00
121	19/09/2017 20:30:37
122	19/09/2017 20:31:09
123	19/09/2017 20:31:09
124	19/09/2017 20:32:14
125	19/09/2017 20:32:47
126	19/09/2017 20:32:48
127	19/09/2017 20:33:52
128	19/09/2017 20:34:24
129	19/09/2017 20:34:25
130	19/09/2017 20:34:57
131	19/09/2017 20:34:57
132	19/09/2017 20:36:35
133	19/09/2017 20:37:07
134	19/09/2017 20:37:08
135	19/09/2017 20:38:45
136	19/09/2017 20:39:50
137	19/09/2017 20:41:28
138	19/09/2017 20:42:01
139	19/09/2017 20:42:01
140	19/09/2017 20:46:24
141	19/09/2017 20:46:57
142	19/09/2017 20:46:57
143	19/09/2017 20:49:08
144	19/09/2017 20:49:41
145	19/09/2017 20:50:14
146	19/09/2017 20:50:47
147	19/09/2017 20:50:48
148	19/09/2017 20:52:26
149	19/09/2017 20:53:00
150	19/09/2017 20:55:44
151	19/09/2017 20:56:17
152	19/09/2017 20:56:48
153	19/09/2017 21:00:59
